time,open,high,low,close,volume
2023-08-24 06:12:00,1671.43,1671.45,1671.42,1671.44,522.421
2023-08-24 06:13:00,1671.45,1671.45,1671.44,1671.45,96.340
2023-08-24 06:14:00,1671.45,1671.45,1671.44,1671.45,76.839
2023-08-24 06:15:00,1671.45,1672.05,1671.44,1672.04,524.651
2023-08-24 06:16:00,1672.05,1672.21,1672.04,1672.05,379.483
2023-08-24 06:17:00,1672.04,1672.20,1671.34,1671.35,684.771
2023-08-24 06:18:00,1671.35,1671.40,1671.12,1671.23,247.634
2023-08-24 06:19:00,1671.23,1671.23,1671.20,1671.21,176.861
2023-08-24 06:20:00,1671.20,1671.21,1671.20,1671.20,320.820
2023-08-24 06:21:00,1671.21,1671.21,1670.78,1671.21,798.530
2023-08-24 06:22:00,1671.21,1671.21,1671.20,1671.21,125.326
2023-08-24 06:23:00,1671.20,1671.21,1670.07,1670.34,695.387
2023-08-24 06:24:00,1670.33,1670.94,1670.33,1670.93,425.953
2023-08-24 06:25:00,1670.93,1670.94,1670.45,1670.46,342.716
2023-08-24 06:26:00,1670.46,1670.84,1670.02,1670.69,931.295
2023-08-24 06:27:00,1670.68,1671.33,1670.46,1671.33,605.302
2023-08-24 06:28:00,1671.32,1671.96,1671.32,1671.96,426.010
2023-08-24 06:29:00,1671.96,1673.91,1671.96,1673.09,3460.725
2023-08-24 06:30:00,1673.08,1674.15,1673.08,1674.05,2926.749
2023-08-24 06:31:00,1674.04,1675.44,1673.78,1674.80,3630.955
2023-08-24 06:32:00,1674.79,1675.29,1674.68,1674.78,1454.823
2023-08-24 06:33:00,1674.79,1675.52,1674.79,1675.49,1965.957
2023-08-24 06:34:00,1675.50,1676.06,1675.20,1675.32,2563.761
2023-08-24 06:35:00,1675.32,1675.40,1674.21,1674.21,1843.366
2023-08-24 06:36:00,1674.22,1674.22,1673.63,1673.72,779.011
2023-08-24 06:37:00,1673.73,1675.00,1673.72,1675.00,675.067
