,price,quantity,total
273,0.8318,511.5,1287533.5999999992
274,0.8317,304.1,1287837.6999999993
275,0.8316,807.5,1288645.1999999993
276,0.8315,5366.0,1294011.1999999993
277,0.8314,2645.2,1296656.3999999992
278,0.8313,2355.9,1299012.299999999
279,0.8312,1357.5,1300369.799999999
280,0.8311,158.9,1300528.699999999
281,0.831,844.1,1301372.799999999
282,0.8309,136.6,1301509.3999999992
283,0.8308,118.2,1301627.5999999992
284,0.8307,547.5,1302175.0999999992
285,0.8306,710.7,1302885.799999999
286,0.8305,26.1,1302911.8999999992
287,0.8304,110.7,1303022.5999999992
288,0.8303,125.8,1303148.3999999992
289,0.8302,18333.1,1321481.4999999993
290,0.8301,2144.0,1323625.4999999993
291,0.83,54605.0,1378230.4999999993
292,0.8299,60.2,1378290.6999999993
293,0.8298,150.0,1378440.6999999993
294,0.8297,230.1,1378670.7999999993
295,0.8296,192.2,1378862.9999999993
296,0.8295,70.6,1378933.5999999994
297,0.8294,471.5,1379405.0999999994
298,0.8293,323.8,1379728.8999999994
299,0.8292,1172.9,1380901.7999999993
300,0.8291,124.5,1381026.2999999993
301,0.829,477.3,1381503.5999999994
302,0.8289,1235.3,1382738.8999999994
303,0.8288,119.0,1382857.8999999994
304,0.8287,177.0,1383034.8999999994
305,0.8286,146.2,1383181.0999999994
306,0.8285,462.5,1383643.5999999994
307,0.8284,35.3,1383678.8999999994
308,0.8283,136.9,1383815.7999999993
309,0.8282,399.3,1384215.0999999994
310,0.8281,34.8,1384249.8999999994
311,0.828,5448.2,1389698.0999999994
312,0.8279,272.0,1389970.0999999994
313,0.8278,148.4,1390118.4999999993
314,0.8277,502.5,1390620.9999999993
315,0.8276,3246.1,1393867.0999999994
316,0.8275,404.3,1394271.3999999994
317,0.8274,40.4,1394311.7999999993
318,0.8273,519.4,1394831.1999999993
319,0.8272,208.8,1395039.9999999993
320,0.8271,50.7,1395090.6999999993
321,0.827,277.6,1395368.2999999993
322,0.8269,351.6,1395719.8999999994
323,0.8268,2167.8,1397887.6999999995
324,0.8267,71.9,1397959.5999999994
325,0.8266,414.3,1398373.8999999994
326,0.8265,129.7,1398503.5999999994
327,0.8264,126.7,1398630.2999999993
328,0.8263,174.8,1398805.0999999994
329,0.8262,263.9,1399068.9999999993
