spot_pairs,futures_usdt_pairs,futures_coin_pairs
STRATBNB,,
STRATUSDT,,
AIONBUSD,,
AIONUSDT,,
MBLBNB,,
MBLBTC,,
MBLUSDT,,
COTIBNB,,
COTIBTC,,
COTIUSDT,,
ALGOBUSD,,
BTTBUSD,,
TOMOBUSD,,
XMRBUSD,,
ZECBUSD,,
BNBBULLUSDT,,
BNBBULLBUSD,,
BNBBEARUSDT,,
BNBBEARBUSD,,
STPTBNB,,
STPTBTC,,
STPTUSDT,,
BTCZAR,,
ETHZAR,,
BNBZAR,,
USDTZAR,,
BUSDZAR,,
BTCBKRW,,
ETHBKRW,,
BNBBKRW,,
WTCUSDT,,
DATABUSD,,
DATAUSDT,,
XZCUSDT,,
SOLBNB,,
SOLBTC,,
SOLUSDT,,
SOLBUSD,,
BTCIDRT,,
BNBIDRT,,
USDTIDRT,,
BUSDIDRT,,
CTSIBTC,,
CTSIUSDT,,
CTSIBNB,,
CTSIBUSD,,
HIVEBNB,,
HIVEBTC,,
HIVEUSDT,,
CHRBNB,,
CHRBTC,,
CHRUSDT,,
BTCUPUSDT,,
BTCDOWNUSDT,,
GXSUSDT,,
ARDRUSDT,,
ERDBUSD,,
LENDUSDT,,
HBARBUSD,,
MATICBUSD,,
WRXBUSD,,
ZILBUSD,,
MDTBNB,,
MDTBTC,,
MDTUSDT,,
STMXBTC,,
STMXETH,,
STMXUSDT,,
KNCBUSD,,
KNCUSDT,,
REPBUSD,,
REPUSDT,,
LRCBUSD,,
LRCUSDT,,
IQBNB,,
IQBUSD,,
PNTBTC,,
PNTUSDT,,
BTCGBP,,
ETHGBP,,
XRPGBP,,
BNBGBP,,
GBPBUSD,,
DGBBTC,,
DGBBUSD,,
BTCUAH,,
USDTUAH,,
COMPBTC,,
COMPBNB,,
COMPBUSD,,
COMPUSDT,,
BTCBIDR,,
ETHBIDR,,
BNBBIDR,,
BUSDBIDR,,
USDTBIDR,,
BKRWUSDT,,
BKRWBUSD,,
SCUSDT,,
ZENUSDT,,
SXPBTC,,
SXPBNB,,
SXPBUSD,,
SNXBTC,,
SNXBNB,,
SNXBUSD,,
SNXUSDT,,
ETHUPUSDT,,
ETHDOWNUSDT,,
ADAUPUSDT,,
ADADOWNUSDT,,
LINKUPUSDT,,
LINKDOWNUSDT,,
VTHOBNB,,
VTHOBUSD,,
VTHOUSDT,,
DCRBUSD,,
DGBUSDT,,
GBPUSDT,,
STORJBUSD,,
SXPUSDT,,
IRISBNB,,
IRISBTC,,
IRISBUSD,,
MKRBNB,,
MKRBTC,,
MKRUSDT,,
MKRBUSD,,
DAIBNB,,
DAIBTC,,
DAIUSDT,,
DAIBUSD,,
RUNEBNB,,
RUNEBTC,,
RUNEBUSD,,
MANABUSD,,
DOGEBUSD,,
LENDBUSD,,
ZRXBUSD,,
DCRUSDT,,
STORJUSDT,,
XRPBKRW,,
ADABKRW,,
BTCAUD,,
ETHAUD,,
AUDBUSD,,
FIOBNB,,
FIOBTC,,
FIOBUSD,,
BNBUPUSDT,,
BNBDOWNUSDT,,
XTZUPUSDT,,
XTZDOWNUSDT,,
AVABNB,,
AVABTC,,
AVABUSD,,
USDTBKRW,,
BUSDBKRW,,
IOTABUSD,,
MANAUSDT,,
XRPAUD,,
BNBAUD,,
AUDUSDT,,
BALBNB,,
BALBTC,,
BALBUSD,,
YFIBNB,,
YFIBTC,,
YFIBUSD,,
YFIUSDT,,
BLZBUSD,,
KMDBUSD,,
BALUSDT,,
BLZUSDT,,
IRISUSDT,,
KMDUSDT,,
BTCDAI,,
ETHDAI,,
