,ATOMUSDT,AXSUSDT,date,rolling_hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
1116,6.943,4.48,2023-09-17 23:00:00,0.7621236803988332,-0.8114247130090977,-0.9106053490778075,0.052579600925970374,1.8862949570186271,-1,845.4436417850471,-1097.0996286965526,10060.166342472505,0.0005043595710339251
1117,6.872,4.44,2023-09-18 00:00:00,0.7618673843576972,-0.7955526653060945,-0.9066178717233734,0.05660298502010891,1.9621793157696827,-1,845.4436417850471,-1097.0996286965526,10044.023829053629,-0.0016058858128846947
1118,6.947,4.46,2023-09-18 01:00:00,0.7614272717937476,-0.8296352571511649,-0.9023897144754491,0.05748067552791577,1.2657202904470155,-1,845.4436417850471,-1097.0996286965526,10085.490109613576,0.00411995434568486
1119,6.986,4.52,2023-09-18 02:00:00,0.7611766007388882,-0.7975797327618732,-0.8967615232812506,0.059233923206253404,1.6744086015377522,-1,845.4436417850471,-1097.0996286965526,10052.636433921401,-0.003262836269114419
1120,7.063,4.54,2023-09-18 03:00:00,0.760347360820978,-0.830333409478567,-0.8929381138416334,0.05971045572823366,1.0484713874569227,-1,845.4436417850471,-1097.0996286965526,10095.793601764919,0.004283930188998481
1121,7.062,4.53,2023-09-18 04:00:00,0.7593332640262497,-0.8324115105533751,-0.88898165306994,0.05965569428521113,0.948277330343448,-1,845.4436417850471,-1097.0996286965526,10105.919154410098,0.0010024450515969147
1122,7.105,4.54,2023-09-18 05:00:00,0.7578323379226249,-0.8443987609402503,-0.8861407463242019,0.05968272601136726,0.6993981034981769,-1,845.4436417850471,-1097.0996286965526,10131.30223471989,0.002508555214444116
1123,7.163,4.51,2023-09-18 06:00:00,0.7549377716474865,-0.8976192583109466,-0.8824840496222028,0.05519400545544678,-0.2742183424422975,0,0.0,0.0,10213.25095480432,0.00805612809824085
1124,7.114,4.51,2023-09-18 07:00:00,0.7529735697716742,-0.8466539753556903,-0.8794191664230645,0.05451918519459843,0.6009846066191842,0,0.0,0.0,10213.25095480432,0.0
1125,7.164,4.51,2023-09-18 08:00:00,0.7501948859692715,-0.8643961630838612,-0.8773220014595069,0.05381898595475981,0.24017246230746703,0,0.0,0.0,10213.25095480432,0.0
1126,7.289,4.55,2023-09-18 09:00:00,0.7454201788693756,-0.8833676837788786,-0.8765561241996773,0.05355457769529546,-0.12718911944290595,0,0.0,0.0,10213.25095480432,0.0
1127,7.363,4.59,2023-09-18 10:00:00,0.7398736310139526,-0.8576895451557336,-0.8743489651574052,0.05289633353381738,0.31494470199945024,0,0.0,0.0,10213.25095480432,0.0
1128,7.36,4.59,2023-09-18 11:00:00,0.7342305959397438,-0.8139371861165152,-0.8705082506879597,0.05296244377573554,1.0681354661614422,0,0.0,0.0,10213.25095480432,0.0
1129,7.474,4.59,2023-09-18 12:00:00,0.7258698236476938,-0.8351510619428639,-0.8667547296066742,0.05126191508184986,0.6165135971480725,0,0.0,0.0,10213.25095480432,0.0
1130,7.415,4.58,2023-09-18 13:00:00,0.7189300572830796,-0.7508663747540352,-0.8596529474373764,0.052088031269243024,2.0885138108027825,-1,801.595315937111,-1114.9837286904278,10213.25095480432,0.0
1131,7.412,4.58,2023-09-18 14:00:00,0.7120683916619918,-0.6978509189986832,-0.8511690985405319,0.05696537696649082,2.691427454821131,-1,801.595315937111,-1114.9837286904278,10210.846168856508,-0.0002354851667973842
1132,7.391,4.58,2023-09-18 15:00:00,0.70589051927943,-0.6372368279942675,-0.8412313536020791,0.06690733970696856,3.048911023831442,-1,801.595315937111,-1114.9837286904278,10194.012667221828,-0.0016499506895668982
1133,7.415,4.59,2023-09-18 16:00:00,0.6994532721789603,-0.5964460132069904,-0.8288019616594117,0.07627031061743084,3.04647964026147,-1,801.595315937111,-1114.9837286904278,10202.101117517417,0.000793136457755442
1134,7.298,4.52,2023-09-18 17:00:00,0.6944745928486526,-0.5482755786094673,-0.8160231009669724,0.08942686693927204,2.9940389451340943,-1,801.595315937111,-1114.9837286904278,10186.363326561104,-0.0015437939551685542
1135,7.268,4.53,2023-09-18 18:00:00,0.6902381239315463,-0.48665068473447803,-0.801673733482407,0.10570027221966173,2.9803428329234736,-1,801.595315937111,-1114.9837286904278,10151.165629796087,-0.00346135776696386
1136,7.361,4.55,2023-09-18 19:00:00,0.6845634027850243,-0.48907120790056346,-0.7870468251219137,0.11735272380592768,2.539145301085027,-1,801.595315937111,-1114.9837286904278,10203.414319604428,0.0051338622261989705
1137,7.33,4.54,2023-09-18 20:00:00,0.6796214780022103,-0.4416254337562018,-0.7714409327266566,0.13082219172775608,2.5210974882366157,-1,801.595315937111,-1114.9837286904278,10189.714702097282,-0.0013435524831298844
