time,xrp_close,theta_close
2022-06-05 6:30:00,0.3934,1.188
2022-06-05 7:30:00,0.3926,1.183
2022-06-05 8:30:00,0.3939,1.188
2022-06-05 9:30:00,0.3931,1.19
2022-06-05 10:30:00,0.3921,1.182
2022-06-05 11:30:00,0.3938,1.195
2022-06-05 12:30:00,0.3951,1.214
2022-06-05 13:30:00,0.3941,1.202
2022-06-05 14:30:00,0.3973,1.222
2022-06-05 15:30:00,0.398,1.216
2022-06-05 16:30:00,0.3989,1.223
2022-06-05 17:30:00,0.3971,1.218
2022-06-05 18:30:00,0.3962,1.218
2022-06-05 19:30:00,0.3964,1.222
2022-06-05 20:30:00,0.3951,1.21
2022-06-05 21:30:00,0.3993,1.247
2022-06-05 22:30:00,0.4022,1.315
2022-06-05 23:30:00,0.4015,1.324
2022-06-06 0:30:00,0.4031,1.34
2022-06-06 1:30:00,0.4027,1.327
2022-06-06 2:30:00,0.401,1.322
2022-06-06 3:30:00,0.4019,1.337
2022-06-06 4:30:00,0.403,1.357
2022-06-06 5:30:00,0.4044,1.372
2022-06-06 6:30:00,0.4085,1.37
2022-06-06 7:30:00,0.4068,1.354
2022-06-06 8:30:00,0.4042,1.339
2022-06-06 9:30:00,0.4043,1.341
2022-06-06 10:30:00,0.4028,1.356
2022-06-06 11:30:00,0.4023,1.333
2022-06-06 12:30:00,0.4016,1.327
2022-06-06 13:30:00,0.397,1.3
2022-06-06 14:30:00,0.3974,1.302
2022-06-06 15:30:00,0.3973,1.302
2022-06-06 16:30:00,0.3998,1.302
2022-06-06 17:30:00,0.4014,1.294
2022-06-06 18:30:00,0.4033,1.309
2022-06-06 19:30:00,0.4012,1.292
2022-06-06 20:30:00,0.4023,1.308
2022-06-06 21:30:00,0.3911,1.234
2022-06-06 22:30:00,0.3875,1.201
2022-06-06 23:30:00,0.3858,1.217
2022-06-07 0:30:00,0.3883,1.22
2022-06-07 1:30:00,0.39,1.213
2022-06-07 2:30:00,0.3909,1.215
2022-06-07 3:30:00,0.3914,1.218
2022-06-07 4:30:00,0.3901,1.225
2022-06-07 5:30:00,0.392,1.219
2022-06-07 6:30:00,0.3893,1.218
2022-06-07 7:30:00,0.3908,1.218
2022-06-07 8:30:00,0.3891,1.202
2022-06-07 9:30:00,0.3892,1.204
2022-06-07 10:30:00,0.3915,1.218
2022-06-07 11:30:00,0.3938,1.232
2022-06-07 12:30:00,0.3946,1.223
2022-06-07 13:30:00,0.395,1.238
2022-06-07 14:30:00,0.3966,1.234
2022-06-07 15:30:00,0.4055,1.248
2022-06-07 16:30:00,0.414,1.258
2022-06-07 17:30:00,0.413,1.264
2022-06-07 18:30:00,0.4081,1.27
