,timestamp,THETAUSDT,XRPUSDT,hedge_ratio,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,strategy_returns,cumulative_strategy_returns
165,1697558400000,0.598,0.4909,0.8195195762396358,0.0008272934086978045,,,,0,0.0,1.0
166,1697562000000,0.595,0.4916,0.8194458295956075,0.004029731390613522,,,,0,0.0,1.0
167,1697565600000,0.595,0.4909,0.8193995704847299,0.003357255561585726,,,,0,-0.0,1.0
168,1697569200000,0.6,0.4931,0.8193020297837577,0.001518782129745433,,,,0,-0.0,1.0
169,1697572800000,0.596,0.492,0.8192555658707226,0.003723682741049339,,,,0,0.0,1.0
170,1697576400000,0.596,0.4919,0.8192406273856143,0.003632586078173905,,,,0,-0.0,1.0
171,1697580000000,0.594,0.4912,0.8192519474439125,0.004564343218316003,,,,0,0.0,1.0
172,1697583600000,0.597,0.4912,0.8192457106856315,0.002110310720678077,,,,0,-0.0,1.0
173,1697587200000,0.595,0.4893,0.8192123322406468,0.0018686623168151506,,,,0,-0.0,1.0
174,1697590800000,0.593,0.4894,0.819240384315567,0.0035904521008687795,,,,0,0.0,1.0
175,1697594400000,0.593,0.4898,0.8192666606326044,0.0039748702448655915,,,,0,0.0,1.0
176,1697598000000,0.594,0.4904,0.819287445659526,0.0037432572782415408,,,,0,-0.0,1.0
177,1697601600000,0.598,0.4909,0.8192775256694764,0.0009720396496531447,,,,0,-0.0,1.0
178,1697605200000,0.598,0.49,0.8192249823829989,0.00010346053496668173,-0.0018274085269351667,0.0031484720992415913,0.6132717715259282,0,-0.0,1.0
179,1697608800000,0.597,0.489,0.8191769748983875,-4.865401433729044e-05,-0.0018110932062798204,0.0031538984104237658,0.5588129237509981,0,-0.0,1.0
180,1697612400000,0.597,0.4891,0.8191342350219455,7.68616918985221e-05,-0.0017928935664750973,0.003160077087899954,0.5916802680330103,0,0.0,1.0
181,1697616000000,0.597,0.4873,0.8190505846042702,-0.0016731990087492377,-0.0018003236828638464,0.0031589884894841973,0.040242208712626786,0,-0.0,1.0
182,1697619600000,0.594,0.4873,0.819001929719007,0.0008128537469098696,-0.0017874764823808558,0.003167320377245351,0.8209874340379352,0,0.0,1.0
183,1697623200000,0.597,0.4895,0.8189819049691724,0.0005678027334040658,-0.0017583453077455716,0.0031768839631196233,0.7322105774569797,0,-0.0,1.0
184,1697626800000,0.596,0.4904,0.8189713539687656,0.002293073034615678,-0.001724656226053721,0.0032037781926271013,1.2540597441843677,0,0.0,1.0
185,1697630400000,0.595,0.4897,0.818979426756772,0.002407241079720679,-0.0016806673652227655,0.003233222656045169,1.2643448595475681,0,0.0,1.0
186,1697634000000,0.592,0.489,0.8190176973714957,0.004141523156074578,-0.0016193881353619396,0.0032908581441893794,1.7505802556723618,0,0.0,1.0
187,1697637600000,0.59,0.4875,0.8190414837859922,0.004265524566264611,-0.00156801073836917,0.003346391910493268,1.7432313550429008,0,0.0,1.0
188,1697641200000,0.591,0.4873,0.8190506479130896,0.0032410670833640798,-0.0015265929494573801,0.003382797531279721,1.4093837980950168,0,-0.0,1.0
189,1697644800000,0.591,0.4876,0.8190595574499641,0.0035358015470712267,-0.0014863603594018468,0.003421445503750943,1.4678479902623787,0,0.0,1.0
190,1697648400000,0.589,0.491,0.8191417524729367,0.008525507793440301,-0.0014025344044859586,0.003571699196481637,2.779641188067026,-1,0.0,1.0
191,1697652000000,0.588,0.4923,0.8192675708646385,0.010570668331592592,-0.0012933731899174214,0.0037820456585208988,3.1369376767783024,-1,-0.002045160538152291,0.9979548394618477
192,1697655600000,0.586,0.4892,0.8193983729851135,0.009032553430723511,-0.0011815072357161862,0.003935542901053586,2.5953371423559597,-1,0.0015381149008690809,0.9994898086708184
193,1697659200000,0.584,0.489,0.8195959150579797,0.010355985606139873,-0.0010304819276377034,0.004112621211815897,2.7686643012644403,-1,-0.0013234321754163614,0.9981670516990228
194,1697662800000,0.584,0.4883,0.8197599327486167,0.00956019927480789,-0.0009014766380608971,0.004259740815540932,2.455941890807338,-1,0.0007957863313319824,0.9989613793951507
195,1697666400000,0.587,0.489,0.8198741614931127,0.00773386720354291,-0.0008043145581915317,0.004355865809344196,1.9601572076482128,-1,0.00182633207126498,1.0007858146002953
196,1697670000000,0.585,0.4878,0.8200164842581205,0.008090356708999547,-0.0006911865747889822,0.004453195853983657,1.9719643087184002,-1,-0.0003564895054566364,1.0004290449601805
197,1697673600000,0.584,0.4874,0.8202006243604448,0.008402835373500228,-0.000554437515086222,0.004541502938075918,1.9723146743974902,-1,-0.0003124786645006816,1.0001164322282836
