ticker,date,open,high,low,close,volume,closeadj,closeunadj,lastupdated,log_returns,H-L,H-PC,L-PC,TR,ATR,ma_fast,ma_slow,macd,signal,rsi,+di,-di,dx,adx,%K,%D,rolling_mean,rolling_std,upper_band,lower_band
LND,2023-03-13,5.0,5.0,4.878,4.9,107926.0,4.9,4.9,2023-03-13,-0.02618477899506691,0.12199999999999989,0.03000000000000025,0.15200000000000014,0.15200000000000014,0.16631145256702556,5.099415748313254,5.206887151239075,-0.10747140292582102,-0.10279967954270783,27.906976744186082,13.173993774049247,25.759455754965476,32.32557642121346,23.20787767673535,4.3912175648703125,9.220831386871678,5.1339999999999995,0.11904886214894828,5.3720977242978964,4.8959022757021025
LND,2023-03-14,4.93,4.93,4.79,4.84,88996.0,4.84,4.84,2023-03-14,-0.012320484388040736,0.13999999999999968,0.02999999999999936,0.11000000000000032,0.13999999999999968,0.16455735572922384,5.059505633188138,5.179710325221366,-0.12020469203322826,-0.10628068204081192,35.64356435643566,12.39610080834352,32.619373605624766,44.92515753872844,26.103514991667765,10.20408163265302,6.948433065841126,5.113,0.13199282277142882,5.376985645542858,4.849014354457143
LND,2023-03-15,4.75,4.788,4.66,4.77,83158.0,4.77,4.77,2023-03-15,-0.014568415828290498,0.1280000000000001,0.0519999999999996,0.17999999999999972,0.17999999999999972,0.16558686534727557,5.014966305005347,5.149361412242006,-0.13439510723665915,-0.11190356707998136,28.712871287128692,8.355890174513034,31.617503689717424,58.19274088713209,30.382078444396342,17.741935483870872,10.779078227131402,5.0965,0.15270456512671207,5.401909130253424,4.791090869746576
LND,2023-03-16,4.77,4.83,4.673,4.8,42409.0,4.8,4.8,2023-03-16,0.006269613013595395,0.15700000000000003,0.0600000000000005,0.09699999999999953,0.15700000000000003,0.1650144076574572,4.981894565773755,5.123482789112968,-0.1415882233392134,-0.11784049833182779,33.33333333333333,11.869546924993813,31.416118315897513,45.157146787796954,32.35208755684976,22.580645161290267,16.842220759271385,5.076499999999999,0.1641974100700012,5.404894820140002,4.748105179859997
LND,2023-03-17,4.72,4.72,4.67,4.67,54828.0,4.67,4.67,2023-03-17,-0.027456846233039317,0.04999999999999982,0.08000000000000007,0.1299999999999999,0.1299999999999999,0.1626801138136267,4.933910786423946,5.089891471400896,-0.1559806849769494,-0.12546853566085212,28.037383177570135,12.423459114826871,33.189896144998414,45.527098175261685,34.10875563930468,1.6129032258064169,13.978494623655854,5.0555,0.18757384510755476,5.4306476902151095,4.680352309784891
LND,2023-03-20,4.7,4.74,4.65,4.72,45643.0,4.72,4.72,2023-03-20,0.010649727916657928,0.08999999999999986,0.07000000000000028,0.019999999999999574,0.08999999999999986,0.15783477289271827,4.901001434666416,5.062492103148977,-0.16149066848256144,-0.13267296222519398,35.00000000000003,18.515293262264834,41.548832951886936,38.34824735067093,34.674021200820185,11.111111111111017,11.7682198327359,5.031999999999999,0.19893400122180502,5.429868002443609,4.6341319975563895
LND,2023-03-21,4.78,4.82,4.72,4.82,41591.0,4.82,4.82,2023-03-21,0.02096512846504509,0.10000000000000053,0.10000000000000053,0.0,0.10000000000000053,0.15397912136653708,4.888539675486967,5.044529725137941,-0.15599004965097318,-0.13733637971034982,39.81481481481483,25.108595411233093,32.408089702471585,12.691090032063093,31.742963711652575,26.984126984126977,13.236047107014803,4.999499999999999,0.1753034962272159,5.350106992454431,4.648893007545568
LND,2023-03-22,4.82,4.82,4.68,4.7,35935.0,4.7,4.7,2023-03-22,-0.025211419346496056,0.14000000000000057,0.0,0.14000000000000057,0.14000000000000057,0.1530471799421013,4.859533571565895,5.019009004757352,-0.1594754331914574,-0.14176419040657134,36.75213675213677,15.54341620695384,23.871674577720515,21.12961864343828,30.327851035890667,7.93650793650791,15.3439153439153,4.978,0.18457917998577816,5.347158359971556,4.6088416400284435
LND,2023-03-23,4.7,4.73,4.52,4.58,62985.0,4.58,4.58,2023-03-23,-0.025863510589919352,0.21000000000000085,0.03000000000000025,0.1800000000000006,0.21000000000000085,0.15684403461262791,4.816528406709604,4.986489819219771,-0.16996141251016716,-0.14740363482729052,28.925619834710773,8.980640475128885,23.95125324807976,45.459313390169186,32.34537934979447,7.8947368421053215,14.27179058758007,4.947,0.19697982798142202,5.340959655962844,4.553040344037156
LND,2023-03-24,4.58,4.71,4.565,4.64,89461.0,4.64,4.64,2023-03-24,0.013015368112070227,0.14499999999999957,0.1299999999999999,0.01499999999999968,0.14499999999999957,0.15605443230511937,4.789370190292742,4.960823906684973,-0.1714537163922305,-0.15221365114027852,21.818181818181827,9.433171722805481,30.06295235276239,52.232418022806456,34.996984506196064,15.789473684210526,10.54023948760792,4.923,0.20391174561562556,5.330823491231251,4.515176508768749
LND,2023-03-27,4.72,4.83,4.7,4.83,38597.0,4.83,4.83,2023-03-27,0.04013210142631741,0.1299999999999999,0.1900000000000004,0.0600000000000005,0.1900000000000004,0.15831747015144476,4.795620930247705,4.951133246930531,-0.1555123166828256,-0.15287338424878794,35.537190082644656,14.660185507890603,19.88374217016029,15.121490268718688,32.34691860786575,43.661971830985934,22.44872745243393,4.907500000000001,0.19825223168588188,5.304004463371764,4.510995536628237
LND,2023-03-28,4.88,5.03,4.85,5.03,39099.0,5.03,5.03,2023-03-28,0.040573516447166454,0.1800000000000006,0.20000000000000018,0.019999999999999574,0.20000000000000018,0.16109630547468182,4.8316792486711355,4.95697522863938,-0.1252959799682447,-0.1473579033926793,45.32374100719425,25.403552734829944,16.37094772009866,21.62229330420541,30.916968567377708,75.00000000000004,44.8171485050655,4.9079999999999995,0.19856326050169545,5.30512652100339,4.510873478996609
