None,date,closeadj,log_returns
50,2023-08-31,448.748,-0.0014630026669968832
49,2023-09-01,449.585,0.0018634520655561352
48,2023-09-05,447.642,-0.00433112921778328
47,2023-09-06,444.632,-0.006746832066966376
46,2023-09-07,443.267,-0.0030746764561078344
45,2023-09-08,443.935,0.001505858026086983
44,2023-09-11,446.854,0.006553764018243106
43,2023-09-12,444.403,-0.005500110919316352
42,2023-09-13,444.921,0.0011649298986191369
41,2023-09-14,448.758,0.008587028625258314
40,2023-09-15,443.37,-0.012079131047043353
39,2023-09-18,443.63,0.0005862457890562757
38,2023-09-19,442.71,-0.0020759535401795267
37,2023-09-20,438.64,-0.009235897047674732
36,2023-09-21,431.39,-0.016666477752474377
35,2023-09-22,430.42,-0.0022510771738795798
34,2023-09-25,432.23,0.00419637780353996
33,2023-09-26,425.88,-0.014800237526573553
32,2023-09-27,426.05,0.00039909382755964483
31,2023-09-28,428.52,0.00578070112039234
30,2023-09-29,427.48,-0.0024299077376612977
29,2023-10-02,427.31,-0.00039775851903122946
28,2023-10-03,421.59,-0.013476467356901502
27,2023-10-04,424.66,0.007255570972884423
26,2023-10-05,424.5,-0.0003768430022458004
25,2023-10-06,429.54,0.011802862884746777
24,2023-10-09,432.29,0.0063817906856858475
23,2023-10-10,434.54,0.005191340985260642
22,2023-10-11,436.32,0.004087918790183203
21,2023-10-12,433.66,-0.006115102161206689
20,2023-10-13,431.5,-0.004993306412589051
19,2023-10-16,436.04,0.010466471736675266
18,2023-10-17,436.02,-4.5868403558294294e-05
17,2023-10-18,430.21,-0.01341465229080621
16,2023-10-19,426.43,-0.008825234716263508
15,2023-10-20,421.19,-0.012364188561956037
14,2023-10-23,420.46,-0.0017346882505940376
13,2023-10-24,423.63,0.007511082712290534
12,2023-10-25,417.55,-0.014456135150031866
11,2023-10-26,412.55,-0.012046887048886217
10,2023-10-27,410.68,-0.004543088119588232
9,2023-10-30,415.59,0.011884874907133232
8,2023-10-31,418.2,0.006260589656635804
7,2023-11-01,422.66,0.010608286339472917
6,2023-11-02,430.76,0.01898301712667409
5,2023-11-03,434.69,0.009082042898631277
4,2023-11-06,435.69,0.0022978479285109352
3,2023-11-07,436.93,0.0028420179107287785
2,2023-11-08,437.25,0.0007321147001603099
1,2023-11-09,433.84,-0.007829311365906304
0,2023-11-10,440.61,0.015484327901075597
