,VCSH,HYG,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
71,73.533,71.243,-41.589777182842354,-41.758459495281116,0.2978083301045978,0.5664123376922199,0,0.0,0.0,10185.303086841108,0.0
72,73.322,71.042,-41.46700804537237,-41.602298962456224,0.13991781753722918,0.9669312991382184,0,0.0,0.0,10185.303086841108,0.0
73,73.391,71.129,-41.485885156677725,-41.55974550465582,0.1355748679237919,0.5447938036687995,0,0.0,0.0,10185.303086841108,0.0
74,73.538,71.86,-40.98044943728476,-41.39884830278088,0.23924676334607456,1.7488172447745691,-1,108.74511112632212,-70.86907241052816,10185.303086841108,0.0
75,73.508,71.86,-40.93441591063025,-41.29150714656149,0.3089576994196425,1.1557932901559544,-1,108.74511112632212,-70.86907241052816,10182.040733507318,-0.0003203513811585504
76,73.264,71.35,-41.070009893840336,-41.18755368876109,0.2682740444021136,0.4381482196040215,-1,108.74511112632212,-70.86907241052816,10191.650153321865,0.0009433166116537494
77,73.185,71.013,-41.285788273650155,-41.15130973441664,0.23068974116016236,-0.582941133650791,0,0.0,0.0,10206.942166945233,0.001499320761740102
78,73.361,70.619,-41.94985163002322,-41.24410302908574,0.41699715073552185,-1.6924542522476198,1,-110.89120121190297,72.26767701996087,10206.942166945233,0.0
79,73.704,70.629,-42.46616828477298,-41.54124679858339,0.6476890976421653,-1.4280331250852536,1,-110.89120121190297,72.26767701996087,10169.629161699751,-0.003662347933774786
80,73.743,70.244,-42.91101186942383,-41.9365659903421,0.775343629411291,-1.2567922687668338,1,-110.89120121190297,72.26767701996087,10137.481349199801,-0.003166165795813578
81,73.724,70.754,-42.37185730254265,-42.196935472082565,0.6132350074927487,-0.2852443652479417,1,-110.89120121190297,72.26767701996087,10176.444797303007,0.0038361364124474802
82,73.88,70.523,-42.84223164114604,-42.50822414558174,0.38921184302729656,-0.8581637520749221,1,-110.89120121190297,72.26767701996087,10142.45193652234,-0.003345938801632491
83,73.665,70.984,-42.05132470012215,-42.52851875960153,0.3538577805241388,1.3485475966433587,0,0.0,0.0,10199.6089438891,0.005619603453221369
84,74.007,70.561,-42.99910690398343,-42.63510648344362,0.40670081783238404,-0.8950078401116655,0,0.0,0.0,10199.6089438891,0.0
85,73.949,70.369,-43.1021087524514,-42.67332586004913,0.4461742805247375,-0.9610210877641442,0,0.0,0.0,10199.6089438891,0.0
86,74.086,71.138,-42.5433285241736,-42.70762010437532,0.4232084281436381,0.38820488741769327,0,0.0,0.0,10199.6089438891,0.0
87,74.477,71.206,-43.075298821570584,-42.754233540460234,0.453493331190106,-0.7079823649617426,0,0.0,0.0,10199.6089438891,0.0
88,74.595,70.927,-43.5353640264116,-43.051041405718124,0.35292855495057884,-1.3722964999567586,0,0.0,0.0,10199.6089438891,0.0
89,74.693,70.782,-43.83074021348297,-43.21736806761803,0.49120884195616066,-1.2486993178345074,0,0.0,0.0,10199.6089438891,0.0
90,74.242,70.609,-43.31170286277701,-43.25928688968315,0.4878454958519174,-0.10744379837375474,0,0.0,0.0,10199.6089438891,0.0
91,74.154,70.571,-43.21467118459047,-43.39355542176653,0.29632199452229524,0.6036819422211245,0,0.0,0.0,10199.6089438891,0.0
92,74.282,71.456,-42.52608089831632,-43.283711837115675,0.4853152628891931,1.5611108834471867,-1,109.51353984362979,-71.3698565822961,10199.6089438891,0.0
