,VCSH,HYG,calculated_spread,rolling_mean_spread,rolling_std_spread,z_score,trading_signal,symbol_one_position,symbol_two_position,portfolio_value,returns
108,77.904,76.519,-33.22827067416995,-33.28830989377959,0.33211797439649,0.18077678487213106,0,0.0,0.0,9945.663269193446,0.0
109,77.937,76.721,-33.07275942869151,-33.27590760364294,0.33301743034205306,0.6100226487927968,0,0.0,0.0,9945.663269193446,0.0
110,77.918,76.686,-33.0809931760882,-33.26297827235574,0.3327968509373549,0.5468353914857068,0,0.0,0.0,9945.663269193446,0.0
111,77.881,76.58,-33.134869421018564,-33.250796649104984,0.33049015284374295,0.35077362241782417,0,0.0,0.0,9945.663269193446,0.0
112,77.937,76.73,-33.06375942869151,-33.22951915102322,0.32084096655033556,0.516641388142999,0,0.0,0.0,9945.663269193446,0.0
113,77.947,76.817,-32.99084693006169,-33.202455318986985,0.30465427033170944,0.6945853366666795,0,0.0,0.0,9945.663269193446,0.0
114,77.975,76.782,-33.06529193389815,-33.16638777949888,0.24765344046115337,0.4082149854751942,0,0.0,0.0,9945.663269193446,0.0
115,77.963,76.812,-33.01838693225395,-33.13881269833042,0.21305208597379985,0.5652409622090341,0,0.0,0.0,9945.663269193446,0.0
116,77.963,76.768,-33.06238693225394,-33.12084540874184,0.19462683397268876,0.30036185296064033,0,0.0,0.0,9945.663269193446,0.0
117,78.01,76.918,-32.97859818869375,-33.09966620240439,0.17241788226482338,0.7021778258747413,0,0.0,0.0,9945.663269193446,0.0
118,78.048,76.891,-33.0591306939004,-33.08213516286149,0.14608971034966234,0.15746809892380503,0,0.0,0.0,9945.663269193446,0.0
119,78.086,76.944,-33.059663199107035,-33.06681483161081,0.12053013719417767,0.05933480762787327,0,0.0,0.0,9945.663269193446,0.0
120,78.086,76.768,-33.23566319910704,-33.06582004211358,0.11894644644269962,-1.4278960160047942,0,0.0,0.0,9945.663269193446,0.0
121,78.057,76.689,-33.273809445133566,-33.068455669237345,0.12271780553020052,-1.6733820736851728,0,0.0,0.0,9945.663269193446,0.0
122,77.963,76.319,-33.51138693225394,-33.07329983763956,0.13691739291119967,-3.1996453138609726,1,-91.79204715209126,65.15850095777884,9945.663269193446,0.0
123,78.029,76.592,-33.33136444129707,-33.08131067270844,0.1447950091516576,-1.7269501901596862,1,-91.79204715209126,65.15850095777884,9933.933273544011,-0.001180104131945368
124,78.095,76.839,-33.17734195034019,-33.08923900805136,0.1432655997056999,-0.6149622970888902,1,-91.79204715209126,65.15850095777884,9923.897398919478,-0.0010107725908739694
125,78.057,76.698,-33.264809445133565,-33.10353692677327,0.13843000146722206,-1.1650113172792138,1,-91.79204715209126,65.15850095777884,9929.596649762745,0.0005741307787780945
126,78.057,76.513,-33.44980944513355,-33.12216967822565,0.14621274217149255,-2.2408427749998183,1,-91.79204715209126,65.15850095777884,9941.650972439933,0.0012132428104153076
127,78.01,76.31,-33.586598188693756,-33.1440258044177,0.1645004314710116,-2.690402574135772,1,-91.79204715209126,65.15850095777884,9950.563921918216,0.0008961244509041507
128,78.142,76.636,-33.446553206779996,-33.15855855587009,0.17141680350496727,-1.6800841284008838,1,-91.79204715209126,65.15850095777884,9941.438800830056,-0.0009174663663009972
129,78.142,76.75,-33.33255320677999,-33.16934239082935,0.17186170778351437,-0.9496636455878241,1,-91.79204715209126,65.15850095777884,9934.010731720868,-0.0007474617812151
