industry,ev,marketcap,evebit,evebitda,pb,pe,ps,beta1y,beta5y,dividendyieldforward,dividendyieldtrailing,return1y,return5y,volume,volumeavg1m,volumeavg3m
Banking,29616.75633074935,7576.914211886305,29.572941176470593,19.973837209302324,1.368586387434555,20.941595441595442,2.881102362204724,0.8147557840616967,0.9765891472868217,3.4581201044386423,3.362319587628866,-14.071953124999999,-0.9656193353474322,1008955.5732647815,1019786.971722365,1208692.3701799486
Beer & Liquor,52951.619047619046,43804.509523809524,33.03076923076923,22.45714285714286,6.675,54.96666666666667,3.5999999999999996,-0.43952380952380954,0.7725,1.1585,1.2304761904761907,-14.285,12.482307692307693,2722510.0476190476,2222559.523809524,2774211.6666666665
Construction Materials,5513.328333333334,4420.094999999999,19.695454545454545,58.45416666666666,3.226785714285714,20.36829268292683,2.9741379310344827,1.0219672131147541,1.3322950819672132,1.1134999999999997,1.5575409836065572,1.744067796610168,36.067843137254904,507304.7704918033,736601.0655737704,659258.4262295082
Printing and Publishing,7799.738461538462,6905.376923076924,22.700000000000003,10.97272727272727,2.323076923076923,39.962500000000006,1.9384615384615382,0.7969230769230768,1.1884615384615385,2.994615384615384,6.386153846153847,1.1799999999999997,16.54230769230769,396284.46153846156,580158.8461538461,615339.2307692308
Petroleum and Natural Gas,24873.903389830502,21249.657627118646,24.655238095238094,6.686486486486487,2.3692982456140355,49.136082474226804,2.9284482758620682,0.9922033898305085,1.8959322033898305,2.4756896551724137,2.5188135593220338,1.2898245614035089,13.568235294117645,2002624.3898305085,2315755.161016949,2494077.5169491526
Entertainment,11650.902083333334,9577.956250000001,39.12413793103448,40.23714285714286,6.291428571428572,77.972,4.334782608695653,0.9991666666666665,1.487872340425532,0.5170833333333333,0.49604166666666666,-13.8125,-11.941923076923077,3589729.4375,5513124.854166667,2765061.7708333335
Healthcare,4686.538271604939,2982.6839506172837,31.046875,54.80555555555556,9.283333333333333,113.476,47.099999999999994,0.8197530864197532,1.2297468354430379,0.5318750000000001,0.5262962962962964,-25.964805194805194,16.18173913043478,2347883.185185185,932835.8641975309,879957.1851851852
Aircraft,21123.858620689654,17142.655172413793,26.928571428571427,18.5125,3.6478260869565218,32.658333333333324,5.195833333333333,0.9648275862068965,1.5437931034482757,0.34750000000000003,0.5762068965517241,1.085357142857142,-1.1789999999999996,1973545.4827586208,1718323.8275862068,1802150.8275862068
Construction,7224.036538461539,5451.155769230769,16.511627906976745,15.41304347826087,2.3708333333333336,43.945,0.8740000000000001,1.1132692307692307,1.4336538461538464,0.5057692307692309,0.7290384615384615,41.66568627450981,122.63244444444445,546489.8846153846,508250.6538461539,551612.4038461539
Chemicals,6696.629870129871,5194.618181818181,27.39999999999999,11.50740740740741,3.1986301369863015,17.72352941176471,104.20547945205479,1.0857142857142859,1.2657142857142853,1.9885714285714287,2.3400000000000003,-21.508684210526315,9.791194029850747,648514.6753246753,789257.5844155845,820894.935064935
